id,bool_card2,sex_card2,mktsegment_card5,prioridade_prefixo,education_card16,uf_card27,pais_pareto
388,False,M,HOUSEHOLD,1-URGENT,Doctorate,GO,Brasil
389,False,F,FURNITURE,4-NOT SPECIFIED,12th,MT,Brasil
390,False,M,MACHINERY,3-MEDIUM,Assoc-acdm,MS,Brasil
391,True,F,MACHINERY,3-MEDIUM,1st-4th,RR,Brasil
392,False,F,MACHINERY,4-NOT SPECIFIED,Prof-school,RS,Brasil
393,True,M,FURNITURE,1-URGENT,Preschool,AL,Brasil
394,False,F,BUILDING,4-NOT SPECIFIED,1st-4th,PR,Brasil
395,False,M,MACHINERY,2-HIGH,5th-6th,PI,Brasil
396,True,F,FURNITURE,4-NOT SPECIFIED,7th-8th,AC,Brasil
397,False,M,MACHINERY,5-LOW,Some-college,RS,Portugal
398,True,F,AUTOMOBILE,5-LOW,HS-grad,RR,Brasil
399,False,F,HOUSEHOLD,1-URGENT,Bachelors,RS,Brasil
400,True,M,HOUSEHOLD,3-MEDIUM,7th-8th,MT,Portugal
401,True,F,BUILDING,4-NOT SPECIFIED,Masters,GO,Brasil
402,True,M,AUTOMOBILE,3-MEDIUM,10th,DF,Brasil
403,True,F,MACHINERY,4-NOT SPECIFIED,Masters,MT,Estados Unidos
404,False,F,BUILDING,3-MEDIUM,HS-grad,PI,Estados Unidos
405,True,M,MACHINERY,1-URGENT,11th,PB,Brasil
406,True,M,MACHINERY,5-LOW,5th-6th,MT,Brasil
407,False,M,AUTOMOBILE,4-NOT SPECIFIED,7th-8th,SP,Estados Unidos
408,True,F,FURNITURE,4-NOT SPECIFIED,7th-8th,SP,Estados Unidos
409,True,M,MACHINERY,1-URGENT,Masters,PI,Brasil
410,True,F,MACHINERY,2-HIGH,Preschool,RS,Brasil
411,False,F,FURNITURE,4-NOT SPECIFIED,7th-8th,RR,Brasil
412,False,F,HOUSEHOLD,5-LOW,11th,ES,Brasil
413,False,M,AUTOMOBILE,3-MEDIUM,Masters,CE,Brasil
414,True,M,MACHINERY,2-HIGH,7th-8th,PA,Brasil
415,True,F,HOUSEHOLD,2-HIGH,1st-4th,TO,Brasil
416,True,M,HOUSEHOLD,3-MEDIUM,Doctorate,SC,Brasil
417,False,M,MACHINERY,1-URGENT,1st-4th,PR,Brasil
418,False,F,HOUSEHOLD,4-NOT SPECIFIED,5th-6th,AL,Brasil
419,False,M,BUILDING,5-LOW,Bachelors,PI,Mexico
420,True,F,BUILDING,3-MEDIUM,Assoc-voc,AC,Brasil
421,True,F,FURNITURE,4-NOT SPECIFIED,Masters,RR,Brasil
422,False,F,FURNITURE,1-URGENT,Preschool,AC,Brasil
423,False,M,AUTOMOBILE,3-MEDIUM,HS-grad,MT,Brasil
424,False,M,HOUSEHOLD,1-URGENT,Assoc-voc,BA,Estados Unidos
425,False,F,AUTOMOBILE,5-LOW,Doctorate,PI,Brasil
426,True,M,FURNITURE,3-MEDIUM,9th,AP,Brasil
427,True,F,MACHINERY,3-MEDIUM,9th,RO,Brasil
428,True,M,HOUSEHOLD,1-URGENT,9th,TO,Brasil
429,True,M,AUTOMOBILE,3-MEDIUM,Assoc-voc,RN,Brasil
430,False,F,AUTOMOBILE,5-LOW,9th,TO,Brasil
431,False,F,BUILDING,1-URGENT,7th-8th,RO,Argentina
432,False,F,HOUSEHOLD,4-NOT SPECIFIED,12th,RR,Brasil
433,True,F,MACHINERY,1-URGENT,7th-8th,BA,Brasil
434,True,F,MACHINERY,3-MEDIUM,10th,DF,Brasil
435,True,F,MACHINERY,1-URGENT,HS-grad,RS,Brasil
436,False,M,BUILDING,2-HIGH,Preschool,MT,Brasil
437,False,M,AUTOMOBILE,3-MEDIUM,11th,PE,Brasil
438,False,F,BUILDING,3-MEDIUM,11th,RJ,Brasil
439,False,M,HOUSEHOLD,1-URGENT,Masters,SP,Brasil
440,False,M,AUTOMOBILE,5-LOW,Assoc-voc,RO,Brasil
441,False,M,BUILDING,3-MEDIUM,Masters,PA,Brasil
442,True,F,BUILDING,2-HIGH,7th-8th,MG,Estados Unidos
443,True,M,MACHINERY,3-MEDIUM,10th,PR,Brasil
444,True,M,BUILDING,5-LOW,Bachelors,AP,Brasil
445,True,F,MACHINERY,2-HIGH,Doctorate,PA,Brasil
446,False,M,BUILDING,1-URGENT,Doctorate,RN,Brasil
447,False,F,HOUSEHOLD,3-MEDIUM,Doctorate,CE,Brasil
448,True,M,FURNITURE,5-LOW,10th,RN,Brasil
449,True,F,AUTOMOBILE,5-LOW,Assoc-acdm,PB,Brasil
450,False,M,AUTOMOBILE,4-NOT SPECIFIED,7th-8th,RS,Brasil
451,False,M,FURNITURE,1-URGENT,Prof-school,DF,Brasil
452,False,F,MACHINERY,5-LOW,11th,RN,Brasil
453,True,M,FURNITURE,1-URGENT,Bachelors,PE,Brasil
454,True,M,HOUSEHOLD,5-LOW,10th,TO,Estados Unidos
455,False,F,HOUSEHOLD,1-URGENT,Doctorate,PE,Brasil
456,False,M,FURNITURE,2-HIGH,Doctorate,AC,Brasil
457,False,M,MACHINERY,4-NOT SPECIFIED,Assoc-voc,RJ,Brasil
458,True,F,BUILDING,4-NOT SPECIFIED,HS-grad,GO,Brasil
459,True,M,BUILDING,2-HIGH,Bachelors,SC,Brasil
460,False,F,AUTOMOBILE,3-MEDIUM,Doctorate,PB,Japao
461,False,M,BUILDING,3-MEDIUM,5th-6th,PE,Brasil
462,True,F,FURNITURE,1-URGENT,1st-4th,MT,Brasil
463,False,M,HOUSEHOLD,5-LOW,11th,AM,Brasil
464,False,M,FURNITURE,1-URGENT,Assoc-voc,PB,Brasil
465,True,M,BUILDING,2-HIGH,HS-grad,MS,Brasil
466,False,M,AUTOMOBILE,1-URGENT,5th-6th,CE,Brasil
467,True,F,MACHINERY,3-MEDIUM,Some-college,RR,Brasil
468,True,M,AUTOMOBILE,2-HIGH,HS-grad,MA,Brasil
469,False,F,MACHINERY,3-MEDIUM,Some-college,AC,Brasil
470,True,F,AUTOMOBILE,3-MEDIUM,10th,PB,Brasil
471,True,F,MACHINERY,5-LOW,1st-4th,RN,Japao
472,True,M,AUTOMOBILE,1-URGENT,5th-6th,SP,Brasil
473,False,M,MACHINERY,1-URGENT,7th-8th,PB,Estados Unidos
474,False,M,AUTOMOBILE,5-LOW,Assoc-voc,PA,Brasil
475,True,M,MACHINERY,1-URGENT,HS-grad,CE,Brasil
476,False,F,HOUSEHOLD,1-URGENT,Masters,RO,Brasil
477,False,M,FURNITURE,5-LOW,HS-grad,PA,Brasil
478,True,M,MACHINERY,3-MEDIUM,12th,PI,Brasil
479,False,F,HOUSEHOLD,3-MEDIUM,Assoc-voc,MG,Brasil
480,True,M,AUTOMOBILE,1-URGENT,11th,MT,Brasil
481,False,F,BUILDING,5-LOW,Prof-school,RN,Brasil
482,False,F,HOUSEHOLD,3-MEDIUM,Masters,MG,Brasil
483,False,M,AUTOMOBILE,3-MEDIUM,Doctorate,MG,Estados Unidos
484,True,F,HOUSEHOLD,5-LOW,HS-grad,SE,Brasil
485,False,M,BUILDING,4-NOT SPECIFIED,Preschool,AC,Argentina
486,True,M,HOUSEHOLD,1-URGENT,Doctorate,RS,Brasil
487,True,M,AUTOMOBILE,2-HIGH,7th-8th,AM,Brasil
488,True,F,BUILDING,1-URGENT,Some-college,BA,Brasil
489,False,M,BUILDING,3-MEDIUM,Masters,RJ,Brasil
490,True,M,FURNITURE,4-NOT SPECIFIED,7th-8th,MS,Brasil
491,False,F,AUTOMOBILE,3-MEDIUM,Assoc-acdm,SC,Brasil
492,False,F,AUTOMOBILE,1-URGENT,Assoc-voc,TO,Brasil
493,False,F,FURNITURE,4-NOT SPECIFIED,HS-grad,MG,Brasil
494,False,M,HOUSEHOLD,2-HIGH,Assoc-voc,TO,Brasil
495,True,F,MACHINERY,4-NOT SPECIFIED,1st-4th,AM,Brasil
496,False,F,MACHINERY,2-HIGH,Bachelors,DF,Brasil
497,True,M,MACHINERY,1-URGENT,1st-4th,RO,Brasil
498,True,M,BUILDING,2-HIGH,Assoc-voc,PE,Brasil
499,True,M,FURNITURE,4-NOT SPECIFIED,Prof-school,ES,Brasil
500,True,M,FURNITURE,3-MEDIUM,Prof-school,RR,Brasil
501,False,M,FURNITURE,2-HIGH,1st-4th,AC,Brasil
502,True,F,BUILDING,1-URGENT,HS-grad,CE,Brasil
503,True,M,FURNITURE,4-NOT SPECIFIED,Bachelors,DF,Brasil
504,True,M,MACHINERY,2-HIGH,12th,RJ,Brasil
505,True,M,BUILDING,5-LOW,Prof-school,MG,Brasil
506,False,M,MACHINERY,3-MEDIUM,12th,PR,Brasil
507,False,F,MACHINERY,2-HIGH,Prof-school,CE,Brasil
508,True,F,MACHINERY,3-MEDIUM,Doctorate,SC,Estados Unidos
509,True,F,FURNITURE,1-URGENT,11th,AP,Brasil
510,True,M,HOUSEHOLD,2-HIGH,12th,PB,Brasil
511,True,F,MACHINERY,2-HIGH,Some-college,ES,Estados Unidos
512,False,F,BUILDING,3-MEDIUM,Assoc-acdm,CE,Brasil
513,True,F,MACHINERY,1-URGENT,Bachelors,RJ,Brasil
514,False,F,AUTOMOBILE,4-NOT SPECIFIED,1st-4th,MA,Brasil
515,False,M,HOUSEHOLD,5-LOW,Assoc-voc,SC,Brasil
516,True,M,MACHINERY,1-URGENT,12th,PE,Brasil
517,True,F,AUTOMOBILE,4-NOT SPECIFIED,11th,PB,Brasil
518,True,F,FURNITURE,5-LOW,1st-4th,AL,Brasil
519,False,M,FURNITURE,4-NOT SPECIFIED,11th,RJ,Brasil
520,False,M,AUTOMOBILE,4-NOT SPECIFIED,9th,SE,Brasil
521,False,M,BUILDING,1-URGENT,7th-8th,RR,Brasil
522,False,M,BUILDING,3-MEDIUM,Bachelors,PA,Brasil
523,False,F,AUTOMOBILE,1-URGENT,Bachelors,BA,Brasil
524,False,M,HOUSEHOLD,1-URGENT,10th,PI,Brasil
525,False,F,MACHINERY,1-URGENT,7th-8th,SC,Brasil
526,False,F,AUTOMOBILE,4-NOT SPECIFIED,HS-grad,PE,Brasil
527,False,F,AUTOMOBILE,3-MEDIUM,HS-grad,PR,Argentina
528,True,M,MACHINERY,5-LOW,5th-6th,RN,Brasil
529,True,M,HOUSEHOLD,5-LOW,5th-6th,AC,Brasil
530,False,M,HOUSEHOLD,3-MEDIUM,Some-college,MA,Estados Unidos
531,True,M,BUILDING,4-NOT SPECIFIED,11th,SC,Brasil
532,True,M,BUILDING,4-NOT SPECIFIED,Some-college,SE,Brasil
533,True,M,FURNITURE,3-MEDIUM,12th,PB,Brasil
534,True,F,FURNITURE,4-NOT SPECIFIED,12th,PE,Brasil
535,False,M,FURNITURE,5-LOW,5th-6th,RS,Brasil
536,True,M,FURNITURE,5-LOW,Masters,RS,Brasil
537,True,F,FURNITURE,3-MEDIUM,5th-6th,PE,Brasil
538,False,F,BUILDING,2-HIGH,9th,MA,Brasil
539,False,M,HOUSEHOLD,3-MEDIUM,Assoc-voc,RJ,Argentina
540,False,F,MACHINERY,1-URGENT,12th,ES,Brasil
541,False,F,HOUSEHOLD,1-URGENT,Assoc-voc,PR,Brasil
542,False,F,MACHINERY,4-NOT SPECIFIED,Some-college,BA,Brasil
543,True,F,HOUSEHOLD,5-LOW,Prof-school,ES,Brasil
544,True,M,MACHINERY,5-LOW,7th-8th,PR,Japao
545,True,M,AUTOMOBILE,2-HIGH,HS-grad,CE,Brasil
546,False,M,MACHINERY,2-HIGH,9th,AM,Brasil
547,False,M,BUILDING,2-HIGH,Prof-school,MS,Brasil
548,False,M,HOUSEHOLD,5-LOW,Prof-school,AM,Brasil
549,False,M,MACHINERY,1-URGENT,7th-8th,RJ,Brasil
550,True,M,AUTOMOBILE,2-HIGH,9th,TO,Brasil
551,True,M,HOUSEHOLD,2-HIGH,11th,AP,Brasil
552,True,F,FURNITURE,3-MEDIUM,9th,PA,Brasil
553,False,F,MACHINERY,2-HIGH,Preschool,GO,Brasil
554,False,M,BUILDING,5-LOW,Prof-school,AC,Brasil
555,False,F,BUILDING,4-NOT SPECIFIED,Some-college,DF,Brasil
556,False,F,MACHINERY,3-MEDIUM,Assoc-acdm,PR,Brasil
557,True,M,FURNITURE,4-NOT SPECIFIED,12th,SE,Brasil
558,True,F,MACHINERY,3-MEDIUM,5th-6th,MA,Brasil
559,True,M,MACHINERY,2-HIGH,1st-4th,SE,Brasil
560,False,M,FURNITURE,2-HIGH,10th,RS,Brasil
561,True,F,FURNITURE,2-HIGH,12th,TO,Brasil
562,True,F,AUTOMOBILE,3-MEDIUM,5th-6th,PI,Brasil
563,False,F,FURNITURE,3-MEDIUM,Preschool,RS,Brasil
564,True,M,HOUSEHOLD,2-HIGH,Masters,SE,Brasil
565,False,F,BUILDING,2-HIGH,Doctorate,BA,Brasil
566,False,F,AUTOMOBILE,3-MEDIUM,11th,RN,Brasil
567,False,F,AUTOMOBILE,3-MEDIUM,HS-grad,SP,Brasil
568,False,M,AUTOMOBILE,5-LOW,11th,MS,Mexico
569,True,M,FURNITURE,4-NOT SPECIFIED,5th-6th,MA,Brasil
570,False,F,BUILDING,1-URGENT,Assoc-acdm,PB,Brasil
571,True,F,FURNITURE,2-HIGH,Bachelors,SE,Brasil
572,True,M,MACHINERY,3-MEDIUM,Doctorate,RS,Brasil
573,False,M,BUILDING,1-URGENT,10th,GO,Brasil
574,False,F,AUTOMOBILE,3-MEDIUM,1st-4th,AM,Argentina
575,True,M,HOUSEHOLD,1-URGENT,Assoc-voc,CE,Estados Unidos
576,True,M,BUILDING,5-LOW,11th,RS,Brasil
577,True,F,MACHINERY,5-LOW,HS-grad,AP,Brasil
578,True,M,BUILDING,1-URGENT,5th-6th,MT,Brasil
579,True,F,HOUSEHOLD,2-HIGH,Assoc-acdm,AL,Brasil
580,True,F,HOUSEHOLD,1-URGENT,9th,AP,Brasil
581,True,F,BUILDING,5-LOW,Masters,GO,Brasil
582,True,F,AUTOMOBILE,5-LOW,Assoc-acdm,RN,Brasil
583,True,F,HOUSEHOLD,3-MEDIUM,11th,RJ,Brasil
584,False,M,HOUSEHOLD,3-MEDIUM,Assoc-voc,SP,Brasil
585,True,M,FURNITURE,4-NOT SPECIFIED,Doctorate,MG,Japao
586,True,M,MACHINERY,2-HIGH,Preschool,GO,Brasil
587,False,M,BUILDING,2-HIGH,HS-grad,GO,Brasil
588,False,F,BUILDING,1-URGENT,HS-grad,SP,Brasil
589,True,F,MACHINERY,4-NOT SPECIFIED,9th,PB,Brasil
590,False,F,AUTOMOBILE,1-URGENT,7th-8th,MA,Brasil
591,False,F,HOUSEHOLD,4-NOT SPECIFIED,11th,RS,Brasil
592,True,M,BUILDING,4-NOT SPECIFIED,1st-4th,PI,Brasil
593,False,M,FURNITURE,4-NOT SPECIFIED,Prof-school,AP,Brasil
594,True,F,HOUSEHOLD,1-URGENT,5th-6th,MT,Brasil
595,True,F,MACHINERY,1-URGENT,Assoc-voc,SE,Brasil
596,True,F,AUTOMOBILE,4-NOT SPECIFIED,Prof-school,SE,Brasil
597,False,M,FURNITURE,5-LOW,HS-grad,SP,Brasil
598,True,F,HOUSEHOLD,2-HIGH,Some-college,RN,Brasil
599,False,M,MACHINERY,3-MEDIUM,HS-grad,RO,Brasil
600,False,F,AUTOMOBILE,1-URGENT,Preschool,MT,Brasil
601,False,M,HOUSEHOLD,4-NOT SPECIFIED,12th,RS,Brasil
602,True,M,HOUSEHOLD,4-NOT SPECIFIED,HS-grad,AC,Brasil
603,True,M,FURNITURE,5-LOW,10th,RO,Brasil
604,True,F,MACHINERY,3-MEDIUM,HS-grad,ES,Brasil
605,False,F,FURNITURE,5-LOW,1st-4th,AL,Brasil
606,False,F,BUILDING,1-URGENT,Assoc-voc,SP,Brasil
607,False,F,FURNITURE,5-LOW,Prof-school,AL,Brasil
608,True,M,HOUSEHOLD,2-HIGH,5th-6th,RS,Brasil
609,True,M,BUILDING,4-NOT SPECIFIED,Assoc-acdm,MT,Brasil
610,False,M,HOUSEHOLD,1-URGENT,Masters,RN,Brasil
611,False,M,HOUSEHOLD,1-URGENT,HS-grad,AC,Brasil
612,False,M,FURNITURE,2-HIGH,Doctorate,RS,Brasil
613,False,F,HOUSEHOLD,5-LOW,Assoc-voc,PE,Brasil
614,False,F,HOUSEHOLD,2-HIGH,Doctorate,PA,Brasil
615,False,F,FURNITURE,2-HIGH,Assoc-acdm,BA,Brasil
616,False,F,AUTOMOBILE,2-HIGH,12th,AL,Brasil
617,False,F,FURNITURE,5-LOW,5th-6th,SE,Argentina
618,False,F,BUILDING,5-LOW,Masters,SP,Brasil
619,True,M,BUILDING,2-HIGH,9th,RN,Brasil
620,False,F,AUTOMOBILE,1-URGENT,10th,BA,Argentina
621,True,F,HOUSEHOLD,1-URGENT,Assoc-voc,PB,Brasil
622,False,M,FURNITURE,3-MEDIUM,HS-grad,MA,Brasil
623,False,F,FURNITURE,1-URGENT,Bachelors,PB,Brasil
624,True,F,AUTOMOBILE,3-MEDIUM,Assoc-acdm,RN,Estados Unidos
625,True,F,HOUSEHOLD,2-HIGH,Some-college,SC,Brasil
626,True,F,BUILDING,4-NOT SPECIFIED,9th,AC,Brasil
627,True,M,FURNITURE,3-MEDIUM,Bachelors,DF,Brasil
628,True,M,AUTOMOBILE,3-MEDIUM,HS-grad,RN,Brasil
629,False,F,FURNITURE,5-LOW,Prof-school,MG,Estados Unidos
630,False,M,AUTOMOBILE,5-LOW,Some-college,PI,Brasil
631,True,F,FURNITURE,5-LOW,7th-8th,MG,Brasil
632,True,M,MACHINERY,3-MEDIUM,Prof-school,GO,Brasil
633,False,M,BUILDING,3-MEDIUM,Preschool,CE,Brasil
634,True,M,MACHINERY,4-NOT SPECIFIED,Masters,MA,Brasil
635,False,M,FURNITURE,3-MEDIUM,Preschool,MS,Brasil
636,False,M,MACHINERY,5-LOW,Some-college,RS,Brasil
637,True,M,AUTOMOBILE,2-HIGH,5th-6th,ES,Brasil
638,True,F,BUILDING,2-HIGH,Bachelors,MT,Estados Unidos
639,False,M,BUILDING,1-URGENT,HS-grad,SC,Brasil
640,True,M,MACHINERY,4-NOT SPECIFIED,7th-8th,MT,Brasil
641,False,F,MACHINERY,1-URGENT,7th-8th,SE,Brasil
642,True,M,FURNITURE,1-URGENT,Some-college,AM,Brasil
643,True,F,MACHINERY,5-LOW,Some-college,GO,Mexico
644,False,F,HOUSEHOLD,1-URGENT,1st-4th,SC,Brasil
645,True,M,HOUSEHOLD,5-LOW,10th,TO,Brasil
646,False,F,BUILDING,5-LOW,Doctorate,RS,Brasil
647,True,F,FURNITURE,5-LOW,Some-college,GO,Brasil
648,False,M,HOUSEHOLD,5-LOW,Doctorate,SC,Brasil
649,True,F,AUTOMOBILE,1-URGENT,11th,SE,Brasil
650,True,F,FURNITURE,1-URGENT,10th,SE,Brasil
651,False,M,AUTOMOBILE,5-LOW,1st-4th,DF,Brasil
652,True,M,BUILDING,3-MEDIUM,Some-college,BA,Brasil
653,False,F,MACHINERY,5-LOW,10th,AL,Brasil
654,True,F,MACHINERY,4-NOT SPECIFIED,11th,SP,Brasil
655,True,M,HOUSEHOLD,3-MEDIUM,Prof-school,PR,Brasil
656,False,F,HOUSEHOLD,4-NOT SPECIFIED,Prof-school,RN,Brasil
657,False,M,AUTOMOBILE,5-LOW,Some-college,ES,Brasil
658,True,M,MACHINERY,1-URGENT,Some-college,SP,Brasil
659,True,F,FURNITURE,2-HIGH,HS-grad,AC,Brasil
660,False,M,MACHINERY,4-NOT SPECIFIED,Assoc-voc,RN,Brasil
661,False,M,HOUSEHOLD,5-LOW,Some-college,MA,Brasil
662,True,M,FURNITURE,2-HIGH,Doctorate,MT,Brasil
663,True,M,HOUSEHOLD,3-MEDIUM,HS-grad,CE,Mexico
664,False,M,BUILDING,3-MEDIUM,Prof-school,CE,Brasil
665,True,F,HOUSEHOLD,4-NOT SPECIFIED,Preschool,RJ,Brasil
666,False,M,FURNITURE,3-MEDIUM,9th,RR,Brasil
667,True,F,HOUSEHOLD,3-MEDIUM,Some-college,RO,Brasil
668,False,M,FURNITURE,4-NOT SPECIFIED,Prof-school,ES,Brasil
669,False,F,FURNITURE,1-URGENT,Doctorate,MT,Brasil
670,True,M,FURNITURE,3-MEDIUM,Assoc-acdm,PR,Brasil
671,True,F,FURNITURE,1-URGENT,Assoc-voc,PA,Brasil
672,True,F,HOUSEHOLD,4-NOT SPECIFIED,Assoc-acdm,RR,Brasil
673,False,M,AUTOMOBILE,1-URGENT,Doctorate,RR,Brasil
674,True,M,FURNITURE,1-URGENT,Doctorate,RJ,Brasil
675,False,M,FURNITURE,4-NOT SPECIFIED,Bachelors,PB,Estados Unidos
676,False,M,AUTOMOBILE,4-NOT SPECIFIED,1st-4th,MS,Brasil
677,True,F,FURNITURE,2-HIGH,11th,AP,Brasil
678,False,M,MACHINERY,4-NOT SPECIFIED,Some-college,CE,Brasil
679,False,M,BUILDING,1-URGENT,Assoc-acdm,RO,Brasil
680,False,M,FURNITURE,1-URGENT,11th,MS,Brasil
681,True,M,BUILDING,4-NOT SPECIFIED,Doctorate,AP,Brasil
682,True,F,FURNITURE,4-NOT SPECIFIED,Prof-school,RJ,Brasil
683,False,M,HOUSEHOLD,4-NOT SPECIFIED,Prof-school,RR,Estados Unidos
684,True,F,AUTOMOBILE,3-MEDIUM,1st-4th,RN,Brasil
685,True,F,FURNITURE,5-LOW,5th-6th,PE,Brasil
686,True,M,FURNITURE,5-LOW,Masters,RO,Brasil
687,False,M,MACHINERY,4-NOT SPECIFIED,Prof-school,RS,Brasil
688,False,F,MACHINERY,5-LOW,5th-6th,RR,Brasil
689,False,F,AUTOMOBILE,4-NOT SPECIFIED,1st-4th,SC,Brasil
690,False,F,MACHINERY,5-LOW,Prof-school,RN,Estados Unidos
691,False,M,BUILDING,2-HIGH,Preschool,PI,Brasil
692,True,M,AUTOMOBILE,5-LOW,7th-8th,PI,Brasil
693,True,M,HOUSEHOLD,1-URGENT,Some-college,ES,Brasil
694,False,F,BUILDING,1-URGENT,9th,CE,Brasil
695,True,M,HOUSEHOLD,4-NOT SPECIFIED,10th,AL,Brasil
696,True,M,HOUSEHOLD,4-NOT SPECIFIED,Bachelors,BA,Brasil
697,False,M,BUILDING,5-LOW,Assoc-voc,AP,Brasil
698,True,F,AUTOMOBILE,1-URGENT,11th,MG,Brasil
699,False,F,HOUSEHOLD,4-NOT SPECIFIED,Assoc-acdm,RO,Brasil
700,True,M,FURNITURE,3-MEDIUM,Prof-school,AM,Brasil
701,True,M,HOUSEHOLD,4-NOT SPECIFIED,Bachelors,PE,Brasil
702,False,M,FURNITURE,1-URGENT,10th,DF,Brasil
703,False,F,HOUSEHOLD,4-NOT SPECIFIED,1st-4th,RN,Brasil
704,False,F,HOUSEHOLD,5-LOW,Bachelors,MS,Brasil
705,False,M,HOUSEHOLD,2-HIGH,Assoc-voc,PI,Brasil
706,False,F,FURNITURE,5-LOW,Bachelors,AL,Brasil
707,True,F,BUILDING,4-NOT SPECIFIED,12th,MG,Brasil
708,True,F,MACHINERY,3-MEDIUM,Assoc-acdm,RR,Brasil
709,True,M,HOUSEHOLD,2-HIGH,Assoc-voc,PB,Brasil
710,False,M,AUTOMOBILE,2-HIGH,Assoc-voc,ES,Brasil
711,False,M,BUILDING,1-URGENT,Some-college,SE,Brasil
712,False,M,FURNITURE,1-URGENT,1st-4th,AM,Brasil
713,False,F,FURNITURE,3-MEDIUM,1st-4th,SC,Mexico
714,False,F,AUTOMOBILE,5-LOW,Doctorate,RJ,Brasil
715,False,F,FURNITURE,1-URGENT,Prof-school,MA,Brasil
716,True,F,BUILDING,5-LOW,Preschool,DF,Brasil
717,True,M,AUTOMOBILE,4-NOT SPECIFIED,Masters,DF,Brasil
718,False,M,FURNITURE,3-MEDIUM,Assoc-voc,PE,Brasil
719,False,F,AUTOMOBILE,4-NOT SPECIFIED,5th-6th,BA,Brasil
720,False,F,HOUSEHOLD,3-MEDIUM,Preschool,SC,Brasil
721,True,M,BUILDING,3-MEDIUM,Assoc-voc,AC,Brasil
722,False,M,AUTOMOBILE,2-HIGH,1st-4th,PI,Brasil
723,True,F,HOUSEHOLD,2-HIGH,12th,PI,Brasil
724,False,F,FURNITURE,5-LOW,HS-grad,MA,Brasil
725,True,M,AUTOMOBILE,3-MEDIUM,1st-4th,ES,Brasil
726,True,F,MACHINERY,3-MEDIUM,Prof-school,AM,Brasil
727,False,F,BUILDING,4-NOT SPECIFIED,Masters,AM,Brasil
728,True,M,MACHINERY,3-MEDIUM,12th,SE,Brasil
729,False,F,BUILDING,4-NOT SPECIFIED,10th,MT,Brasil
730,True,M,MACHINERY,4-NOT SPECIFIED,7th-8th,MG,Brasil
731,True,F,AUTOMOBILE,3-MEDIUM,12th,TO,Brasil
732,False,F,MACHINERY,4-NOT SPECIFIED,Prof-school,PB,Brasil
733,False,F,AUTOMOBILE,2-HIGH,Bachelors,PR,Estados Unidos
734,True,F,BUILDING,2-HIGH,11th,MA,Brasil
735,True,M,HOUSEHOLD,5-LOW,HS-grad,SP,Portugal
736,False,M,BUILDING,3-MEDIUM,Doctorate,MG,Brasil
737,False,F,AUTOMOBILE,2-HIGH,10th,MT,Brasil
738,True,M,FURNITURE,2-HIGH,Bachelors,RJ,Brasil
739,False,F,HOUSEHOLD,4-NOT SPECIFIED,9th,AC,Brasil
740,True,M,FURNITURE,5-LOW,Preschool,TO,Argentina
741,False,F,MACHINERY,4-NOT SPECIFIED,Assoc-voc,PI,Brasil
742,False,F,MACHINERY,4-NOT SPECIFIED,9th,PR,Brasil
743,True,M,FURNITURE,2-HIGH,Prof-school,GO,Brasil
744,True,F,HOUSEHOLD,3-MEDIUM,Bachelors,RN,Brasil
745,False,M,BUILDING,5-LOW,Prof-school,BA,Brasil
746,False,F,AUTOMOBILE,2-HIGH,7th-8th,ES,Brasil
747,True,F,BUILDING,4-NOT SPECIFIED,Assoc-voc,RO,Mexico
748,False,F,FURNITURE,3-MEDIUM,5th-6th,BA,Brasil
749,True,M,MACHINERY,1-URGENT,Preschool,AP,Brasil
750,False,F,AUTOMOBILE,3-MEDIUM,Bachelors,PR,Brasil
751,True,M,BUILDING,3-MEDIUM,9th,PR,Estados Unidos
752,False,M,AUTOMOBILE,1-URGENT,Doctorate,SP,Brasil
753,True,F,HOUSEHOLD,3-MEDIUM,1st-4th,AM,Brasil
754,True,F,BUILDING,2-HIGH,HS-grad,PE,Japao
755,False,M,FURNITURE,4-NOT SPECIFIED,11th,BA,Brasil
756,False,M,BUILDING,2-HIGH,7th-8th,RN,Brasil
757,True,M,AUTOMOBILE,4-NOT SPECIFIED,Masters,RO,Brasil
758,True,F,HOUSEHOLD,3-MEDIUM,12th,SC,Brasil
759,True,M,MACHINERY,4-NOT SPECIFIED,10th,BA,Brasil
760,True,M,BUILDING,2-HIGH,5th-6th,DF,Brasil
761,True,F,FURNITURE,1-URGENT,7th-8th,PI,Brasil
762,True,M,FURNITURE,4-NOT SPECIFIED,Doctorate,AM,Portugal
763,True,M,AUTOMOBILE,4-NOT SPECIFIED,Some-college,SE,Brasil
764,False,M,BUILDING,3-MEDIUM,Doctorate,AL,Brasil
765,True,M,HOUSEHOLD,2-HIGH,12th,AC,Brasil
766,False,F,AUTOMOBILE,1-URGENT,7th-8th,AM,Estados Unidos
767,True,F,BUILDING,4-NOT SPECIFIED,Preschool,AC,Brasil
768,False,M,FURNITURE,2-HIGH,Prof-school,DF,Estados Unidos
769,False,F,FURNITURE,5-LOW,11th,MG,Brasil
770,True,F,MACHINERY,3-MEDIUM,Prof-school,MT,Brasil
771,False,M,BUILDING,5-LOW,Prof-school,RN,Brasil
772,True,F,BUILDING,5-LOW,7th-8th,BA,Brasil
773,False,M,FURNITURE,3-MEDIUM,12th,PA,Brasil
