cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod
66.621.997/0001-05,1,,02,20260505,4723700,PR,7667
66.622.007/0001-53,1,,02,20260505,7420001,PR,7563
66.622.018/0001-33,1,,02,20260505,9329803,SP,6929
66.622.027/0001-24,1,,02,20260505,7319002,RS,5757
66.622.040/0001-83,1,,02,20260505,4923002,RJ,5869
66.622.050/0001-19,1,,02,20260505,9602501,MT,9067
66.622.060/0001-54,1,,02,20260505,3329501,SP,7071
66.622.071/0001-34,1,,02,20260505,5620101,TO,9733
66.622.082/0001-14,1,,02,20260505,9329899,SP,6645
66.622.094/0001-49,1,,02,20260505,5320201,AC,0139
66.622.105/0001-90,1,,02,20260505,4330404,SP,6477
66.622.114/0001-81,1,,02,20260505,9700500,SP,6875
66.622.125/0001-61,1,,02,20260505,1093701,SP,7107
66.622.138/0001-30,1,,02,20260505,4757100,RN,1761
66.622.149/0001-10,1,,02,20260505,4724500,PE,2457
66.622.160/0001-80,1,,02,20260505,8712300,SP,6969
66.622.171/0001-60,1,,02,20260505,6911701,SC,8179
66.622.182/0001-40,1,,02,20260505,4930201,SP,6563
66.622.194/0001-75,1,,02,20260505,5320201,MG,5403
66.622.205/0001-17,1,,02,20260505,4321500,SC,8039
66.622.216/0001-05,1,,02,20260505,4520001,SP,7057
66.622.228/0001-21,1,,02,20260505,5320202,MG,5403
66.622.239/0001-01,1,,02,20260505,8599605,RO,0003
66.622.251/0001-16,1,,02,20260505,4520005,MG,5055
66.622.261/0001-51,1,ROF,02,20260430,8599604,SC,8105
66.622.272/0001-31,1,,02,20260505,9602501,BA,3685
66.622.284/0001-66,1,,02,20260505,8230001,SC,8113
66.622.295/0001-46,1,,02,20260505,4930201,PE,2435
66.622.304/0001-07,1,,02,20260505,5320202,SP,6425
66.622.313/0001-90,1,,02,20260505,3101200,SC,9943
66.622.324/0001-70,1,,02,20260504,5620102,SC,8327
66.622.336/0001-02,1,,02,20260505,5611203,MG,5403
66.622.348/0001-29,1,,02,20260505,1091102,AL,2853
66.622.359/0001-09,1,,02,20260505,4721102,PA,0427
66.622.370/0001-79,1,,02,20260505,4923002,MA,0921
66.622.379/0001-80,1,,02,20260505,7319002,PR,5535
66.622.391/0001-94,1,,02,20260505,9609208,RJ,6001
66.622.401/0001-91,1,,02,20260505,9602502,SP,2965
66.622.412/0001-71,1,,02,20260505,5620104,PE,2531
66.622.423/0001-51,1,,02,20260505,5320202,SP,7099
66.622.434/0001-31,1,,02,20260505,4789001,PR,7535
66.622.446/0001-66,1,,02,20260504,4754703,SP,7107
66.622.455/0001-57,1,,02,20260505,9602501,RO,0003
66.622.467/0001-81,1,,02,20260505,5320202,MG,4123
66.579.545/0001-02,1,,08,20260504,4923002,ES,5705
66.622.488/0001-05,1,,02,20260504,6810201,RS,8771
66.622.498/0001-32,1,,02,20260505,4781400,GO,9431
66.622.510/0001-09,1,,02,20260505,4399103,SP,7053
66.622.521/0001-99,1,YURI MOTO PECAS,02,20260505,4541206,PA,0054
66.622.533/0001-13,1,,02,20260505,8599604,SE,3105
66.622.542/0001-04,1,,02,20260505,5320201,MT,8985
66.622.553/0001-94,1,,02,20260505,4923002,SC,5545
66.622.565/0001-19,1,,02,20260505,4930201,ES,5705
66.622.576/0001-07,1,UNIVERSO CLICK SOLUCOES,02,20260422,4781400,SP,7075
66.622.587/0001-89,1,,02,20260505,5320202,SP,6477
66.622.597/0001-14,1,,02,20260505,3329501,GO,9399
66.622.609/0001-00,1,,02,20260505,4923002,BA,3685
66.622.620/0001-70,1,,02,20260505,4781400,MA,0813
66.622.632/0001-03,1,,02,20260505,5320202,PR,7635
66.622.642/0001-30,1,,02,20260505,7319002,RN,1761
66.622.652/0001-76,1,BLAUEMOB LOCACAO E COMERCIO VEICULAR,02,20260505,7711000,RS,8801
66.622.665/0001-45,1,,02,20260505,4723700,PE,2521
66.622.676/0001-25,1,,02,20260427,6911701,RS,8801
66.622.686/0001-60,1,,02,20260505,4756300,PA,0567
66.622.698/0001-95,1,,02,20260505,5811500,RJ,6001
66.622.709/0001-37,1,,02,20260505,5320202,MG,4123
66.622.720/0001-05,1,,02,20260505,7319002,PR,7927
66.622.732/0001-21,1,,02,20260505,4923002,MG,4123
66.622.743/0001-01,1,,08,20260505,4723700,SP,7121
66.622.755/0001-36,1,,08,20260505,4930202,SP,6969
66.622.766/0001-16,1,,02,20260505,4930201,SP,6769
66.622.776/0001-51,1,,02,20260505,4923002,CE,1389
66.622.785/0001-42,1,,02,20260505,4330404,RS,7351
66.622.798/0001-11,1,,02,20260505,8712300,RJ,2927
66.622.808/0001-19,1,,02,20260505,5320201,SP,7243
66.622.819/0001-07,1,,02,20260505,9602502,RJ,5819
66.622.830/0001-69,1,,02,20260505,7319002,PR,7687
66.622.841/0001-49,1,,02,20260505,4751201,PR,7535
66.622.851/0001-84,1,,02,20260505,4321500,RO,0007
66.622.863/0001-09,1,,02,20260505,5320202,BA,3669
66.622.871/0001-55,1,,02,20260505,4930201,PA,0561
66.622.883/0001-80,1,,02,20260505,5611201,SP,7181
66.622.894/0001-60,1,,02,20260505,8599603,MG,4069
66.622.906/0001-56,1,,02,20260505,4930201,ES,5705
66.622.917/0001-36,1,,02,20260505,7319002,SC,8089
66.622.927/0001-71,1,,02,20260505,7420004,RJ,6001
66.622.938/0001-51,1,,02,20260505,4930201,SP,7107
66.622.949/0001-31,1,,02,20260505,9700500,RJ,6001
66.622.961/0001-46,1,,02,20260505,4755503,SP,7107
66.622.971/0001-81,1,,02,20260505,5320201,RJ,6001
66.622.982/0001-61,1,,02,20260505,4930201,PE,2489
66.622.993/0001-41,1,,02,20260505,9602501,RS,8841
66.623.004/0001-34,1,,02,20260505,9602501,RJ,6001
66.623.014/0001-70,1,,02,20260505,4330404,SP,6477
66.623.025/0001-50,1,,02,20260505,8599604,AL,2785
66.623.037/0001-84,1,,02,20260505,9602501,SP,7107
66.623.048/0001-64,1,,02,20260505,4772500,RJ,5925
66.623.060/0001-79,1,,02,20260505,5620104,SP,6969
66.623.070/0001-04,1,,02,20260505,2542000,SP,6927
66.623.079/0001-15,1,,02,20260505,5620104,DF,9701
66.623.090/0001-85,1,,02,20260505,5310502,AM,0255
66.623.100/0001-82,1,,08,20260505,8712300,RJ,2911
66.623.110/0001-18,1,,02,20260505,5320201,MT,9907
66.623.121/0001-06,1,,02,20260505,4520001,SP,6153
66.623.131/0001-33,1,,02,20260506,9512600,MS,9123
66.623.142/0001-13,1,,02,20260506,5320201,SP,7107
66.623.150/0001-60,1,,02,20260506,7319002,MT,9167
66.623.161/0001-40,1,,02,20260506,7319002,SP,7107
66.623.172/0001-20,1,,02,20260506,9001902,RS,8801
66.623.184/0001-54,1,,02,20260506,5320202,SC,8327
66.623.195/0001-34,1,,02,20260506,1091102,RN,1779
66.623.205/0001-31,1,,02,20260506,4923002,MG,4083
66.623.217/0001-66,1,,02,20260506,7990200,MG,5401
66.623.228/0001-46,1,,02,20260506,8599699,SP,7107
66.623.239/0001-26,1,,02,20260506,1091102,SP,6361
66.623.249/0001-61,1,,02,20260506,9511800,SP,7057
66.623.260/0001-21,1,,02,20260506,5611201,MG,4553
66.623.271/0001-01,1,,02,20260506,4752100,PE,2531
66.623.282/0001-91,1,,02,20260506,1531902,AL,2785
66.623.292/0001-27,1,,02,20260506,3299099,PB,2051
66.623.303/0001-79,1,,02,20260506,9002702,ES,5699
66.623.314/0001-59,1,,02,20260506,5620101,RJ,5901
66.623.326/0001-83,1,,02,20260506,5320202,SP,7107
66.623.337/0001-63,1,,02,20260506,4930201,MG,5155
66.623.346/0001-54,1,,02,20260506,4781400,SE,3195
66.623.358/0001-89,1,,02,20260506,4399103,RS,8801
66.623.369/0001-69,1,,02,20260506,5612100,PR,7481
66.623.381/0001-73,1,,02,20260506,4930201,AC,0139
66.623.391/0001-09,1,,02,20260506,5620101,PR,7535
66.623.402/0001-50,1,,08,20260506,4781400,MG,5373
66.623.413/0001-30,1,,02,20260506,4930201,RJ,6001
66.623.423/0001-76,1,,02,20260506,4755502,RJ,6001
66.623.434/0001-56,1,,02,20260506,7911200,SP,6717
66.623.444/0001-91,1,,02,20260506,4753900,MT,9067
66.623.456/0001-16,1,,02,20260506,4781400,SP,6689
66.623.466/0001-51,1,,02,20260506,4752100,SP,7107
66.623.475/0001-42,1,,08,20260506,7319002,SP,7213
66.623.485/0001-88,1,,08,20260506,4789099,SP,7107
66.623.496/0001-68,1,,02,20260506,5320202,RS,8519
66.623.507/0001-00,1,,02,20260506,5611201,PA,0427
66.623.516/0001-09,1,,02,20260506,1096100,RJ,1116
66.623.526/0001-36,1,,02,20260506,7420004,RJ,2921
20.452.545/0005-70,2,RESIDENCIAL ZE FLAMENGO 109,02,20260506,4110700,MG,5403
37.797.464/0011-52,2,RESIDENCIAL SEBASTIAO LEANDRO,02,20260506,4110700,PE,2513
55.435.482/0002-85,2,CONDOMINIO RESIDENCIALMORADA DOS VENTOS,02,20260506,4110700,CE,0991
66.623.541/0001-84,1,,02,20260506,5819100,MT,9047
66.623.552/0001-64,1,,02,20260424,6311900,RS,8801
66.623.563/0001-44,1,,02,20260506,4930202,DF,9701
59.633.630/0002-27,2,PARQUE SERRANO,02,20260506,4110700,SP,6249
66.623.574/0001-24,1,,02,20260506,5320201,MG,2903
66.623.583/0001-15,1,,02,20260506,9602501,SP,6217
66.623.594/0001-03,1,,02,20260506,4930201,CE,1447
66.623.606/0001-91,1,,02,20260506,4781400,PE,2521
66.623.615/0001-82,1,,02,20260506,8712300,RS,8561
66.623.625/0001-18,1,,02,20260506,4930201,DF,9701
66.623.635/0001-53,1,,02,20260506,9602501,CE,1537
66.623.645/0001-99,1,,02,20260506,4930202,DF,9701
66.623.657/0001-13,1,,02,20260506,1091102,SC,8179
66.623.667/0001-59,1,,02,20260506,1091102,RJ,6001
66.623.676/0001-40,1,,02,20260506,4930204,PR,5453
66.623.686/0001-85,1,,02,20260506,4520005,MG,4925
65.186.026/0001-11,1,,02,20260219,7420001,SP,6163
65.752.765/0001-23,1,,08,20260318,4930201,DF,9701
66.623.715/0001-09,1,,02,20260506,6190699,SP,7047
63.323.678/0001-25,1,,02,20251022,7319002,SP,7099
63.951.382/0001-59,1,,08,20251205,9700500,RJ,5813
66.623.743/0001-26,1,,02,20260506,4930204,SP,6313
66.623.754/0001-06,1,,02,20260430,7319002,SP,7099
66.623.765/0001-96,1,,02,20260506,4330405,DF,9701
66.623.774/0001-87,1,,02,20260506,5320202,SP,7077
66.623.785/0001-67,1,,02,20260506,1412601,MG,4867
66.623.797/0001-91,1,FANELI TECNOLOGIA,02,20260430,6204000,SP,6213
66.623.808/0001-33,1,,02,20260506,4923002,SP,7107
66.623.819/0001-13,1,,02,20260506,8230001,SP,7107
66.623.830/0001-83,1,,02,20260506,5320202,BA,3965
66.623.841/0001-63,1,,02,20260506,1091101,PR,7471
66.623.850/0001-54,1,,02,20260506,8712300,RN,1761
66.623.861/0001-34,1,,02,20260504,1539400,RS,8899
66.623.872/0001-14,1,,02,20260506,4520002,MG,4929
66.623.882/0001-50,1,,02,20260506,2542000,MG,4123
66.623.892/0001-95,1,,02,20260506,4930201,SC,8025
66.623.903/0001-37,1,,02,20260506,8599699,PE,2457
66.623.912/0001-28,1,,02,20260506,8599699,PE,2381
66.623.921/0001-19,1,,02,20260506,9602501,MG,4029
66.623.930/0001-00,1,ASSOCIACAO FOGUETES DOS GRAMADOS,02,20260319,9499500,PR,7777
66.623.940/0001-45,1,,02,20260504,4110700,RS,8853
66.623.952/0001-70,1,,02,20260506,3101200,BA,3651
66.623.961/0001-60,1,,02,20260506,8712300,RJ,5833
66.623.970/0001-51,1,LOCAAUTO MULTIMARCAS,02,20260505,4511102,SC,8069
66.623.981/0001-31,1,,02,20260506,4520005,GO,9221
66.623.993/0001-66,1,VOLPATO ADMINISTRADORA DE BENS,02,20260429,6810201,SC,8367
17.453.895/0164-69,2,,02,20260506,8630504,RJ,5899
66.624.011/0001-50,1,,02,20260506,4930202,MG,4605
66.624.021/0001-96,1,,02,20260506,5912099,PR,7667
66.624.031/0001-21,1,,02,20260505,6311900,SP,7071
66.624.043/0001-56,1,TR QUIMICA,02,20260429,4619200,SP,6477
66.624.052/0001-47,1,,02,20260506,4930202,PE,2457
66.624.063/0001-27,1,,02,20260506,8230001,SP,6921
76.107.770/0047-82,2,COOPERATIVA FRISIA,02,20260506,4632001,TO,9547
66.046.049/0001-93,1,,02,20260401,6463800,GO,0053
66.624.093/0001-33,1,NEXOR BRASIL,02,20260505,7490104,PB,1981
65.564.927/0001-08,1,,02,20260309,4772500,SC,8245
66.624.113/0001-76,1,,02,20260506,0115600,SP,6859
66.624.125/0001-09,1,ENG MSP,02,20260505,4120400,RJ,6001
63.125.399/0001-57,1,,02,20251009,8230002,MG,5343
66.624.145/0001-71,1,,02,20260506,1099604,BA,3403
66.624.157/0001-04,1,,02,20260506,7319002,RS,9825
66.624.167/0001-31,1,,02,20260506,4763601,PR,7435
66.624.177/0001-77,1,,02,20260505,8219999,SP,7097
66.624.187/0001-02,1,,02,20260505,6462000,SC,8027
66.624.197/0001-48,1,,02,20260506,8230001,PB,1981
66.624.209/0001-34,1,,02,20260506,9511800,SP,7079
28.844.599/0002-40,2,,02,20260415,0134200,SP,6379
66.624.231/0001-84,1,,02,20260506,4930202,SP,6181
66.624.239/0001-40,1,,08,20260506,4923002,SP,6143
66.624.247/0001-97,1,,02,20260506,5320201,SP,6179
66.624.258/0001-77,1,,02,20260506,4330404,SC,8081
66.624.269/0001-57,1,,02,20260506,8020002,PA,0595
66.624.279/0001-92,1,,02,20260506,1412603,SC,8197
66.624.290/0001-52,1,,02,20260506,8130300,RS,8815
66.624.301/0001-02,1,,02,20260506,5320201,SP,6181
66.624.312/0001-84,1,,02,20260506,4930202,RS,8681
66.624.324/0001-09,1,,02,20260506,4330403,PE,2407
66.624.333/0001-08,1,,02,20260506,9602501,SP,6969
66.624.343/0001-35,1,,02,20260506,4772500,SC,8233
66.624.355/0001-60,1,,02,20260506,4321500,GO,9571
66.624.366/0001-40,1,,02,20260506,5320201,PR,7745
66.624.376/0001-85,1,,02,20260506,9529104,SP,6979
66.624.385/0001-76,1,,02,20260505,6462000,SP,7107
66.599.116/0001-05,1,,02,20260505,3212400,MS,9787
66.624.408/0001-42,1,,02,20260506,8599699,ES,5699
66.624.418/0001-88,1,LOPES GAS E AGUA MINERAL,02,20260504,4784900,SP,6635
66.624.426/0001-24,1,,02,20260506,4781400,SP,7107
66.624.436/0001-60,1,,02,20260506,9609299,RJ,2911
66.624.448/0001-94,1,ELECTRIZAR,02,20260505,4321500,MG,5403
40.162.223/0002-50,2,,02,20260506,4771704,CE,1343
66.624.466/0001-76,1,,02,20260430,8211300,SC,8105
66.624.475/0001-67,1,,02,20260506,7319003,SP,6311
66.624.485/0001-00,1,,02,20260427,4686902,SP,6477
66.624.496/0001-82,1,INSTITUTO RIO FORMOSO DO ESPORTE - IRFE,02,20260401,9312300,GO,9373
66.624.506/0001-80,1,,02,20260506,8599604,BA,1112
63.815.652/0001-02,1,,02,20251125,9700500,SC,8175
66.624.524/0001-61,1,,02,20260506,4930201,MG,5403
66.624.535/0001-41,1,,02,20260506,5612100,MT,9779
66.624.546/0001-21,1,ZELLO,02,20260505,3314710,SP,7107
66.624.556/0001-67,1,,02,20260429,4782201,SP,6425
66.624.567/0001-47,1,AMADEU CONSTRUCOES,02,20260506,4120400,PI,1065
66.624.577/0001-82,1,,02,20250101,8610101,PE,2477
66.624.589/0001-07,1,,02,20260506,5611201,PR,7777
66.624.600/0001-39,1,,02,20260506,4772500,SP,6229
66.624.612/0001-63,1,,02,20260506,4520005,PA,0411
66.624.622/0001-07,1,,02,20260506,0159801,SP,7131
66.624.632/0001-34,1,,02,20260506,4321500,BA,3849
66.624.642/0001-70,1,,02,20260506,8219999,RS,8561
66.624.654/0001-02,1,,02,20260506,5320202,AL,2859
66.624.662/0001-40,1,,02,20260506,9609206,RS,8901
66.624.673/0001-20,1,,02,20260506,8219999,MT,1046
66.624.683/0001-66,1,,02,20260504,6462000,SP,7107
66.624.695/0001-90,1,,02,20260506,5320202,CE,1389
66.624.706/0001-32,1,MM ATELIER,02,20260427,8299799,SP,6789
66.624.716/0001-78,1,CLINICA LORENA LIMA ESTETICA E BELEZA,02,20260506,8650099,MG,4939
66.624.728/0001-00,1,,02,20260506,4930201,PE,2531
66.624.739/0001-82,1,,02,20260506,5320201,SP,6645
66.624.751/0001-97,1,,02,20260506,9602501,MG,5373
66.624.761/0001-22,1,AGRO TROVO,02,20260505,0163600,PR,7965
66.624.772/0001-02,1,,02,20260506,5320201,MG,4123
66.624.782/0001-48,1,DUONA SEMIJOIAS,02,20260505,4783101,PR,7427
66.624.793/0001-28,1,USIMEK USINAGEM LTDA,02,20260428,2539001,PR,5453
66.624.803/0001-25,1,,02,20260506,8712300,MG,5403
66.624.813/0001-60,1,,02,20260506,5611204,SP,6597
66.624.824/0001-40,1,COOPERBRAS,02,20260506,4712100,MG,0574
66.624.836/0001-75,1,,02,20260506,9602501,SC,8105
66.624.846/0001-00,1,,02,20260506,4930202,PA,0561
66.624.856/0001-46,1,,02,20260506,4399103,PR,7745
66.624.868/0001-70,1,,02,20260506,7319002,SP,6959
66.624.878/0001-06,1,,02,20260506,8599699,PR,7529
66.624.889/0001-96,1,,02,20260506,8230001,PE,2381
66.624.900/0001-18,1,,02,20260506,1091102,MG,5341
66.624.911/0001-06,1,USE OUSIA,02,20260504,9602502,MG,4595
66.624.922/0001-88,1,,02,20260506,8599604,MG,4123
66.624.934/0001-02,1,MERCADINHO MIX,02,20260428,4712100,BA,3927
66.624.945/0001-92,1,,02,20260506,4330403,GO,9373
65.175.017/0002-06,2,,02,20260506,8650099,MS,9051
66.624.964/0001-19,1,,02,20260506,4781400,SP,7107
66.624.976/0001-43,1,INSTITUTO HORIZONTE DO AMANHA,02,20260428,9493600,DF,9701
66.624.985/0001-34,1,,02,20260506,8712300,MT,9763
66.624.996/0001-14,1,,02,20260506,4923002,RJ,5803
66.625.007/0001-07,1,,02,20260506,3299099,SP,7097
66.625.018/0001-97,1,,02,20260506,4723700,AL,2719
66.625.029/0001-77,1,,02,20260505,6204000,SP,6795
66.625.038/0001-68,1,,02,20260506,8219999,SP,6619
66.625.050/0001-72,1,,02,20260420,4930202,PR,0864
66.625.059/0001-83,1,MVR ENGENHARIA,02,20260504,7112000,SC,8105
66.625.071/0001-98,1,,02,20260506,3321000,RS,8691
66.625.080/0001-89,1,,02,20260506,7319002,MS,9037
66.625.090/0001-14,1,KAHM PARTICIPACOES,02,20260429,6462000,SC,8055
66.625.101/0001-66,1,MLU SEMIJOIAS,02,20260505,4789001,MG,5373
66.625.113/0001-90,1,,02,20260506,7319002,SP,6317
66.572.142/0001-31,1,,02,20260504,9602502,MA,0723
66.625.133/0001-61,1,,02,20260506,8219999,MT,9871
66.625.143/0001-05,1,,02,20260506,5620101,PA,0427
66.625.155/0001-21,1,,02,20260506,4754701,SP,7107
14.637.863/0002-60,2,MIRIAN ITAITUBA,02,20260506,4731800,PA,0471
66.625.173/0001-03,1,,02,20260506,7319002,SP,7097
66.625.184/0001-93,1,GLP TRANSPORTES,02,20260506,4930202,ES,5623
66.625.196/0001-18,1,,02,20260506,4329101,AL,2877
66.625.207/0001-60,1,,02,20260506,5320201,MG,4541
66.625.218/0001-40,1,,02,20260506,7319002,BA,3849
66.625.227/0001-30,1,FG EDTECH,02,20260505,8532500,RS,8801
66.625.239/0001-65,1,,02,20260506,7319002,SC,8161
66.625.250/0001-25,1,,02,20260506,8230001,SC,8179
66.625.262/0001-50,1,,02,20260506,5612100,BA,3965
66.625.272/0001-95,1,,02,20260506,5611201,AL,2785
66.625.283/0001-75,1,RPA PNEUS,02,20260504,4530705,BA,3993
66.625.292/0001-66,1,,02,20260506,4399103,MG,4939
66.625.305/0001-05,1,,02,20260506,8712300,RS,8801
66.625.316/0001-87,1,EFFECT ROUTING,02,20260430,6209100,SP,6563
66.625.326/0001-12,1,,02,20260506,4923002,SC,8055
66.625.338/0001-47,1,,02,20260506,4752100,MG,4787
66.625.348/0001-82,1,,02,20260506,4330404,BA,3691
66.625.359/0001-62,1,PAZ (PSICOLOGIA APLICADA COM ZELO),02,20260504,8650003,RJ,5921
66.625.367/0001-09,1,,02,20260506,5611203,RS,0954
66.625.379/0001-33,1,LF ODONTOLOGIA & ESTETICA,02,20260505,8630504,SC,5543
66.625.390/0001-01,1,,02,20260506,8712300,RS,8683
66.625.402/0001-90,1,,02,20260506,7319002,SP,7107
66.625.411/0001-80,1,VANGUARDA EM INTENSIVISMO E TECNICAS ANESTESICAS,02,20260505,6462000,MG,5403
66.625.421/0001-16,1,,02,20260320,6462000,PE,2531
66.625.431/0001-51,1,,02,20260506,5320202,SP,7107
66.625.442/0001-31,1,,02,20260506,7319002,SC,8267
66.625.454/0001-66,1,,02,20260506,4781400,MA,0803
66.625.465/0001-46,1,,02,20260506,8219999,SP,6425
66.625.477/0001-70,1,,02,20260506,5320201,PE,2573
66.625.487/0001-06,1,,02,20260506,4923002,MT,8985
66.625.498/0001-96,1,,02,20260506,4930202,SP,6921
66.625.508/0001-93,1,,02,20260506,7420001,MG,5393
66.625.519/0001-73,1,,02,20260506,5611205,PI,1087
66.625.528/0001-64,1,VITRINE DIGITAL MIDIAS,02,20260430,7311400,BA,3769
66.625.539/0001-44,1,,02,20260506,8712300,RJ,5843
66.625.549/0001-80,1,,02,20260506,5912099,DF,9701
66.625.558/0001-70,1,,02,20260506,4785799,RO,0003
66.625.569/0001-50,1,,02,20260506,1412602,PI,1219
66.625.580/0001-10,1,CLINICA DRA CAMILA FREIPER,02,20260506,8630504,RJ,6001
66.625.590/0001-56,1,,02,20260506,9529102,CE,1389
66.625.599/0001-67,1,,02,20260506,5320202,PR,0862
66.625.610/0001-99,1,,02,20260506,4729699,RJ,6001
66.625.620/0001-24,1,,02,20260313,6911701,PE,2313
66.625.631/0001-04,1,PETITO,02,20260506,4772500,ES,5705
66.625.642/0001-94,1,,02,20260506,4930201,SP,7107
66.625.651/0001-85,1,,02,20260430,0161099,PR,5535
66.625.662/0001-65,1,,02,20260506,7319002,SP,7107
66.625.673/0001-45,1,,02,20260506,3101200,GO,9227
66.625.685/0001-70,1,,02,20260506,4781400,MG,4637
66.625.695/0001-05,1,,02,20260506,4330404,RN,1761
66.625.705/0001-02,1,,02,20260505,7319002,RS,8541
66.625.715/0001-48,1,,02,20260506,5611203,AP,0605
66.625.725/0001-83,1,,02,20260505,6911701,RJ,6001
66.625.735/0001-19,1,,02,20260506,4399103,RS,8801
66.625.746/0001-07,1,,02,20260506,4789099,PB,1965
66.625.756/0001-34,1,,02,20260505,8630503,RS,8771
66.625.764/0001-80,1,,02,20260506,4619200,MA,0731
66.625.776/0001-05,1,CINDERELAS AI,02,20260506,6319400,SP,7107
66.625.786/0001-40,1,,02,20260506,4781400,SP,6429
66.625.796/0001-86,1,,02,20260506,5620102,SP,6789
66.625.806/0001-83,1,,02,20260505,4729699,MG,4751
66.625.818/0001-08,1,,02,20260506,4399103,SP,7107
66.625.827/0001-07,1,,02,20260506,8599603,SP,7107
66.625.836/0001-90,1,,02,20260506,4520003,PE,2605
66.625.846/0001-25,1,,02,20260506,3299099,SC,8047
63.797.011/0001-64,1,MEU MERCADINHO 24H,02,20251125,4712100,SP,7225
66.625.866/0001-04,1,,02,20260506,1412601,SC,8259
66.625.876/0001-31,1,,02,20260506,5320202,RN,1761
66.625.887/0001-11,1,,02,20260506,4923002,SP,7097
66.625.897/0001-57,1,EBNC CONSULTORIA HOSPITALAR,02,20260506,8660700,PA,0435
66.625.905/0001-65,1,,02,20260506,9700500,MG,4313
66.625.917/0001-90,1,,02,20260506,8599605,SP,6219
66.625.928/0001-70,1,,02,20260506,4930202,MT,9167
66.625.937/0001-60,1,,02,20260506,4930202,SP,6361
66.625.945/0001-07,1,,02,20260506,5612100,SP,7107
66.625.956/0001-97,1,,02,20260506,8599604,MG,4939
66.625.966/0001-22,1,,02,20260506,4744001,MA,0921
66.625.977/0001-02,1,,02,20260506,8599604,PB,2051
66.625.985/0001-59,1,,02,20260506,1340599,GO,9797
66.625.995/0001-94,1,,02,20260506,4763602,MA,0921
66.626.007/0001-21,1,,02,20260506,7319004,DF,9701
66.626.018/0001-01,1,,02,20260506,8219999,SE,3105
66.626.028/0001-47,1,,02,20260506,8219999,PR,7535
66.626.040/0001-51,1,,02,20260506,4322301,SP,6361
35.346.384/0002-64,2,WILIAS DIFERENCIADO,02,20260506,1412601,SP,7107
66.626.058/0001-53,1,,02,20260506,4930204,PE,2491
66.626.069/0001-33,1,,02,20260506,4772500,CE,1347
66.626.080/0001-01,1,LD COMERCIO,02,20260505,4292801,SP,6545
66.626.091/0001-83,1,FELICIANO CAPITAL IMOVEIS,02,20260506,6821801,GO,9373
66.626.103/0001-70,1,,02,20260506,4399103,MG,4079
66.626.114/0001-50,1,JP SOLUCOES ELETRICAS,02,20260505,7112000,BA,3849
66.626.124/0001-95,1,,02,20260505,6209100,SP,6271
66.626.135/0001-75,1,,02,20260429,6462000,SP,6155
66.626.147/0001-08,1,,02,20260505,4520001,SC,8081
66.626.157/0001-35,1,CASA DA SOGRA,02,20260505,5611201,RJ,2921
66.626.167/0001-70,1,,02,20260506,5212500,RJ,6001
66.626.179/0001-03,1,,02,20260506,4520001,DF,9701
66.626.189/0001-30,1,,02,20260505,6821801,SP,6131
66.626.200/0001-62,1,MS LAZER,02,20260505,5611205,SC,8275
66.626.210/0001-06,1,INTEGRA OFFICE GESTAO EMPRESARIAL,02,20260506,8211300,BA,3449
66.626.220/0001-33,1,,02,20260504,6462000,SP,7107
66.626.231/0001-13,1,,02,20260504,4759899,SP,7107
66.626.242/0001-01,1,,02,20260506,4712100,BA,3965
66.626.253/0001-83,1,,02,20260506,4530705,DF,9701
66.626.262/0001-74,1,,02,20260506,8599699,SP,7107
66.626.273/0001-54,1,,02,20260506,8230001,GO,9545
66.626.282/0001-45,1,,02,20260506,7731400,CE,1385
66.626.293/0001-25,1,,02,20260506,7319002,MA,0889
66.626.303/0001-22,1,MAJESTIC CLINIC MOSSORO,02,20260505,8630503,RN,1759
66.626.313/0001-68,1,,02,20260506,4930201,MG,5035
66.626.324/0001-48,1,,02,20260506,8219999,SP,6689
66.626.335/0001-28,1,,02,20260505,8650002,RS,5757
66.626.345/0001-63,1,ROEL ASSESSORIA ADMINISTRATIVA E FINANCEIRA,02,20260505,8219999,SP,6889
63.586.483/0001-78,1,BELLA ITU PIZZARIA,02,20251110,5611201,SP,6579
66.626.363/0001-45,1,,02,20260506,4930201,SP,7107
66.626.374/0001-25,1,,02,20260506,9602502,RN,1777
66.626.384/0001-60,1,,02,20260506,8219999,SP,6181
66.626.394/0001-04,1,,02,20260428,6491300,PR,7667
66.626.404/0001-01,1,,02,20260407,8112500,SP,7107
66.626.415/0001-83,1,,02,20260506,8219999,SP,7225
66.626.427/0001-08,1,,02,20260506,8219999,GO,9565
66.626.437/0001-43,1,,02,20260506,7319002,SE,3105
66.626.443/0001-09,1,,02,20260506,4322302,RR,0301
66.626.452/0001-91,1,,02,20260506,7319002,RJ,5901
66.626.463/0001-71,1,,02,20260506,5320202,MT,9167
66.626.471/0001-18,1,,02,20260506,9602502,MA,0813
66.626.483/0001-42,1,CLINICA DE OPTOMETRIA UMUARAMA,02,20260506,8650099,PR,7935
66.626.494/0001-22,1,,02,20260506,4930201,SP,6563
65.100.938/0001-29,1,VITORIA GIOVANA SERVICOS MEDICOS,02,20260212,8630599,RO,0003
66.626.512/0001-76,1,SEC SERVICOS ADMINISTRATIVOS 0026 LTDA,02,20260506,6810201,PR,5453
